Rank,Country,CPI
1,New Zealand,9.55
2,Denmark,9.32
3,Singapore,9.26
4,Finland,9.12
5,Canada,8.87
5,Sweden,8.87
7,Australia,8.8
8,Switzerland,8.76
9,The Netherlands,8.69
10,Norway,8.61
11,Ireland,8.57
11,United Kingdom,8.57
13,Germany,8.14
14,Chile,7.94
15,USA,7.79
16,Austria,7.13
17,Hong Kong,7.12
18,France,7
19,Belgium/Luxembourg,6.85
20,Japan,6.72
21,South Africa,5.62
22,Portugal,5.56
23,Malaysia,5.28
24,Argentina,5.24
25,Taiwan,5.08
26,Spain,4.35
27,South Korea,4.29
28,Hungary,4.12
29,Turkey,4.1
30,Greece,4.04
31,Colombia,3.44
32,Mexico,3.18
33,Italy,2.99
34,Thailand,2.79
35,India,2.78
36,Philippines,2.77
37,Brazil,2.7
38,Venezuela,2.66
